date;rain_amount;snow_amount;precipitation
1.01.2012;    ;  ;snow
2.01.2012;    ;  ;   
3.01.2012;22,7;  ;rain
4.01.2012;1,7;  ;rain
5.01.2012;0,2;  ;rain
6.01.2012;0;  ;  
7.01.2012;    ;  ;   
8.01.2012;    ;  ;   
9.01.2012;    ;  ;   
10.01.2012;    ;  ;   
11.01.2012;0;  ;  
12.01.2012;    ;  ;   
13.01.2012;    ;  ;   
14.01.2012;    ;  ;   
15.01.2012;    ;  ;   
16.01.2012;    ;  ;   
17.01.2012;    ;  ;   
18.01.2012;    ;  ;   
19.01.2012;    ;  ;   
20.01.2012;    ;  ;   
21.01.2012;1,4;  ;rain
22.01.2012;    ;  ;   
23.01.2012;    ;  ;   
24.01.2012;0;0;  
25.01.2012;2,3;0;snow
26.01.2012;    ;  ;   
27.01.2012;    ;  ;   
28.01.2012;    ;  ;   
29.01.2012;    ;  ;   
30.01.2012;0,1;0;snow
31.01.2012;    ;  ;   
1.02.2012;0;0;  
2.02.2012;0;0;  
3.02.2012;0;0;  
4.02.2012;0,1;0;snow
5.02.2012;0,5;1;snow
6.02.2012;0;1;  
7.02.2012;0,3;2;snow
8.02.2012;0,1;2;snow
9.02.2012;    ;1;   
10.02.2012;    ;  ;   
11.02.2012;0,1;0;snow
12.02.2012;0,7;1;snow
13.02.2012;3,2;5;snow
14.02.2012;    ;5;   
15.02.2012;    ;4;   
16.02.2012;0;2;  
17.02.2012;    ;  ;   
18.02.2012;    ;  ;   
19.02.2012;    ;  ;   
20.02.2012;17,4;2;snow
21.02.2012;0,8;0;snow
22.02.2012;    ;  ;   
23.02.2012;    ;  ;   
24.02.2012;0;  ;  
25.02.2012;    ;  ;   
26.02.2012;    ;  ;   
27.02.2012;0;  ;  
28.02.2012;    ;  ;   
29.02.2012;    ;  ;   
1.03.2012;    ;  ;   
2.03.2012;    ;  ;   
3.03.2012;    ;  ;   
4.03.2012;    ;  ;   
5.03.2012;    ;  ;   
6.03.2012;    ;  ;   
7.03.2012;    ;  ;   
8.03.2012;    ;  ;   
9.03.2012;    ;  ;   
10.03.2012;    ;  ;   
11.03.2012;    ;  ;   
12.03.2012;    ;  ;   
13.03.2012;    ;  ;   
14.03.2012;    ;  ;   
15.03.2012;    ;  ;   
16.03.2012;    ;  ;   
17.03.2012;    ;  ;   
18.03.2012;    ;  ;   
19.03.2012;0,1;  ;rain
20.03.2012;21,8;  ;rain
21.03.2012;    ;  ;   
22.03.2012;    ;  ;   
23.03.2012;    ;  ;   
24.03.2012;    ;  ;   
25.03.2012;0,5;  ;rain
26.03.2012;    ;  ;   
27.03.2012;    ;  ;   
28.03.2012;    ;  ;   
29.03.2012;    ;  ;   
30.03.2012;    ;  ;   
31.03.2012;    ;  ;   
1.04.2012;6,1;  ;rain
2.04.2012;0,1;  ;rain
3.04.2012;    ;  ;   
4.04.2012;2,9;  ;rain
5.04.2012;2,2;  ;rain
6.04.2012;5,9;  ;rain
7.04.2012;17,6;  ;rain
8.04.2012;26,6;  ;rain
9.04.2012;2;0;snow
10.04.2012;    ;  ;   
11.04.2012;    ;  ;   
12.04.2012;9,6;  ;rain
13.04.2012;0,1;  ;rain
14.04.2012;0,1;  ;rain
15.04.2012;0,6;  ;rain
16.04.2012;7,6;  ;rain
17.04.2012;0,3;  ;rain
18.04.2012;    ;  ;   
19.04.2012;0,6;  ;rain
20.04.2012;1,2;  ;rain
21.04.2012;13,3;  ;rain
22.04.2012;1,4;  ;rain
23.04.2012;17,1;  ;rain
24.04.2012;2,1;  ;rain
25.04.2012;10,2;  ;rain
26.04.2012;0,1;  ;rain
